#---------  Match entre o arquivo onde esta contido os dados de StetsonS   -------       1624 estrelas do        ---------
#---------         e o arquivo onde esta contido os dados do 2MASS         -------    Aglomerado aberto NGC188   ---------
#  r(arcmin)  RAJ2000_2m  DEJ2000_2m  RAJ2000_ste  DEJ2000_ste  AJ2000_2m   DEJ2000_2m  AJ2000_ste  DEJ2000_ste  Bmag  e_B  Vmag  e_V
#  Imag  e_I  Jmag   e_J   Hmag   e_H  Kmag  e_K   Memb(%)
 1.3870  0 49 32.695  85 15 26.860  0 49 32.850  85 15 27.200  12.386231  85.257462  12.386875  85.257553 20.492  0.014  19.204  0.007  17.566  0.007  16.344  0.122  15.765  0.170  15.545  0.216  77.
 1.3909  0 49 15.198  85 14 21.220  0 49 15.420  85 14 21.300  12.313324  85.239227  12.314250  85.239250 18.812  0.008  17.802  0.005  16.646  0.008  15.811  0.073  15.545  0.157  15.106  0.137  87.
 1.3954  0 48 17.920  85 16 41.130  0 48 18.030  85 16 41.200  12.074666  85.278091  12.075125  85.278114 17.036  0.002  16.302  0.001  15.475  0.003  14.998  0.046  14.566  0.067  14.470  0.086  64.
 1.3971  0 47 50.314  85 16 29.240  0 47 50.470  85 16 29.400  11.959641  85.274788  11.960292  85.274834 19.345  0.005  18.245  0.003  16.910  0.005  16.015  0.094  15.397  0.125  14.656  99.99  56.
 1.4084  0 47 34.235  85 14 23.200  0 47 34.300  85 14 23.500  11.892646  85.239777  11.892917  85.239861 20.093  0.013  18.854  0.006  17.427  0.004  16.419  0.114  15.841  0.217  15.794  99.99  91.
 1.4106  0 47 17.946  85 15 12.330  0 47 18.040  85 15 12.600  11.824775  85.253426  11.825167  85.253502 15.746  0.004  15.086  0.003  14.319  0.004  13.865  0.030  13.553  0.032  13.533  0.037  89.
 1.4433  0 49 11.899  85 14 12.870  0 49 12.150  85 14 13.000  12.299581  85.236908  12.300625  85.236938 20.375  0.011  19.060  0.006  17.534  0.007  16.603  0.135  15.610  99.99  15.401  99.99  85.
 1.4564  0 47 43.946  85 14  7.980  0 47 44.270  85 14  8.200  11.933109  85.235550  11.934459  85.235611 17.683  0.007  17.091  0.002  16.363  0.005  16.035  0.091  15.585  0.152  15.217  0.151  26.
 1.4668  0 47 16.421  85 15 35.350  0 47 16.580  85 15 35.500  11.818420  85.259819  11.819083  85.259865 17.002  0.014  16.205  0.007  15.253  0.003  14.524  0.052  14.212  0.059  14.111  0.067  71.
 1.4736  0 49 37.153  85 15 22.850  0 49 37.400  85 15 23.000  12.404804  85.256348  12.405833  85.256386 17.957  0.005  17.075  0.003  16.006  0.004  15.284  0.065  14.893  0.079  14.824  0.118  94.
